ID	AcceptedTaxonID	Genus	SubGenusName	SpeciesEpithet	AuthorString	InfraSpecies	InfraSpeciesMarker	InfraSpeciesAuthorString	GSDNameStatus	Sp2000NameStatus	GSDNameGUID
478	303	Zamia		horrida	Jacq.					5	
487	496	Zamia		jirijirimensis	R.E.Schult.					5	
489	545	Zamia		kickxii	Miq.					5	
492	314	Zamia		lanuginosa	Jacq.					5	
493	468	Zamia		latifolia	Lodd. ex Miq.					5	
494	542	Zamia		latifoliolata	Prenlel.					5	
495	502	Zamia		lawsoniana	Dyer					5	
497	502	Zamia		leiboldii	Miq.					5	
498	502	Zamia		leiboldii		angustifolia	var.	Regel		5	
499	502	Zamia		leiboldii		latifolia	var.	Regel		5	
718	502	Zamia		leiboldii		leiboldii	var.			5	
503	502	Zamia		loddigesii		angustifolia	var.	Regel		5	
719	502	Zamia		loddigesii		loddigesii	var.			5	
504	502	Zamia		loddigesii		longifolia	var.	J.Schust.		5	
505	502	Zamia		loddigesii		obtusifolia	var.	Regel		5	
506	321	Zamia		longifolia	Jacq.					5	
509	511	Zamia		madida	R.E.Schult.					5	
510	248	Zamia		maelenii	Miq.					5	
512	485	Zamia		media	Jacq.					5	
775	542	Zamia		media		commeliniana	var.	J.Schust.		5	
777	550	Zamia		media		commeliniana	var.	J.Schust.		5	
780	475	Zamia		media		gutierrezii	var.	(Sauvalle) J.Schust.		5	
776	512	Zamia		media		jacquiniana	var.	J.Schust.		5	
779	537	Zamia		media		portoricensis	var.	(Urb.) J.Schust.		5	
778	560	Zamia		media		tenuis	var.	(Willd.) J.Schust.		5	
515	502	Zamia		mexicana	Miq.					5	
518	441	Zamia		multifoliolata	A.DC.					5	
520	519	Zamia		muricata		angustifolia	var.	Miq.		5	
720	519	Zamia		muricata		muricata	var.			5	
521	493	Zamia		muricata		obtustifolia	var.	Miq.		5	
525	496	Zamia		obidensis	Ducke					5	
531	545	Zamia		ottonis	Miq.					5	
534	566	Zamia		picta	Dyer					5	
536	539	Zamia		polymorpha	D.W.Stev., A.Moretti & Vázq.Torres					5	
654	449	Zamia		princeps	Rob.					5	
819	542	Zamia		pumila		pumila	subsp.			5	
783	545	Zamia		pumila		pygmaea	subsp.	(Sims) Eckenw.		5	
543	339	Zamia		pungens	L.f.					5	
784	489	Zamia		pygmaea		kickxii	var.	(Miq.) J.Schust.		5	
785	531	Zamia		pygmaea		ottonis	var.	(Miq.) J.Schust.		5	
786	545	Zamia		pygmaea		wrightii	var.	Miq.		5	
550	545	Zamia		silicea	Britton					5	
551	485	Zamia		silvicola	Small					5	
