AcceptedTaxonID	Kingdom	Phylum	Class	Order	Superfamily	Family	Genus	SubGenusName	SpeciesEpithet	AuthorString	GSDNameStatus	Sp2000NameStatus	IsExtinct	HasPreHolocene	HasModern	LifeZone	AdditionalData	LTSSpecialists	LTSDate	SpeciesURL	GSDTaxonGUID	GSDNameGUID
165	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		micronesica	K.D.Hill		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
167	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		montana	A.Lindstr. & K.D.Hill		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
169	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		multifrondis	D.Yue Wang		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
170	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		multipinnata	C.J.Chen & S.Y.Yang		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
172	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		nathorstii	J.Schust.		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
674	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		nayagarhensis	Rita Singh, P.Radha & Khuraijam		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
173	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		nitida	K.D.Hill & A.Lindstr.		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
174	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		nongnoochiae	K.D.Hill		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
176	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		ophiolitica	K.D.Hill		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
177	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		orientis	K.D.Hill		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
673	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		orixensis	(Haines) Rita Singh & Khuraijam		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
178	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		pachypoda	K.D.Hill		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
