ReferenceID	Authors	Year	Title	Details
Cyd-Ref-572		1996		In: Telopea 7(1): 3
Cyd-Ref-162	K.D.Hill	1992		In: Telopea 5(1): 188-189, fig. 5
Cyd-Ref-163	Dyer	1905		In: Gard. Chron., ser. 3 38: 142-144, figs. 48-49
Cyd-Ref-690		1971		In: Nat. Hist. Bull. Siam Soc. 24: 164
Cyd-Ref-164	Smitinand	1971		In: Nat. Hist. Bull. Siam Soc. 24: 164, figs. 2-3, 4f
Cyd-Ref-165	K.D.Hill	1994		In: Austral. Syst. Bot. 7(6): 554-556, fig. 10
Cyd-Ref-166	Warb.	1900		In: Monsunia 1: 179, 181
Cyd-Ref-167	A.Lindstr. & K.D.Hill	2009		In: Telopea 12(3): 396-397, fig. 3
Cyd-Ref-168	Hung T.Chang & Y.C.Zhong	1997		In: Acta Sci. Nat. Univ. Sunyatseni 36(3): 70
Cyd-Ref-169	D.Yue Wang	1996		In: Cycads China: 80
Cyd-Ref-171	D.Yue Wang	1996		In: Cycads China: 83
Cyd-Ref-170	C.J.Chen & S.Y.Yang	1994		In: Acta Phytotax. Sin. 32(3): 239, 480-481
Cyd-Ref-172	J.Schust.	1932		In: in Engler, Pflanzenr. 99: 76, fig. 10e
Cyd-Ref-674	Rita Singh, P.Radha & Khuraijam	2015		In: Asian J. Conservation Biol. 4(1): 3-14, figs. 4-6
Cyd-Ref-173	K.D.Hill & A.Lindstr.	2008		In: Telopea 12(1): 142-143, fig. 6
Cyd-Ref-174	K.D.Hill	1999		In: Brittonia 51(1): 60-62, fig. 7
Cyd-Ref-175	F.Muell.	1874		In: Fragm. (Mueller) 8(66): 169-171, Icon. 65-66
Cyd-Ref-176	K.D.Hill	1992		In: Telopea 5(1): 190-191, fig. 7
Cyd-Ref-177	K.D.Hill	1994		In: Telopea 5(4): 696-697, fig. 3
Cyd-Ref-673	Rita Singh & Khuraijam	2015		In: Asian J. Conservation Biol. 4(1): 3-14, figs. 1-3
Cyd-Ref-178	K.D.Hill	2004		In: Bot. Rev. (Lancaster) 70(2): 176-178, fig. 13
Cyd-Ref-179	Hung T.Chang, Y.Y.Huang & Y.C.Zhong	1998		In: Acta Sci. Nat. Univ. Sunyatseni 37(4): 7
Cyd-Ref-180	L.Zhou & S.Y.Yang	1981		In: Acta Phytotax. Sin. 19(3): 335, t. 10, figs. 1-6; t. 11, figs. 1-10
Cyd-Ref-181	F.Muell.	1876		In: Descr. Notes Papuan Pl. 4: 71-72
Cyd-Ref-182	S.L.Yang	1996		In: Cycads China: 93
Cyd-Ref-183	Buch.-Ham.	1826		In: Mem. Wern. Nat. Hist. Soc. 5(2): 322-323
Cyd-Ref-185	C.J.Chen & P.Yun	1995		In: Acta Bot. Yunnan. 17(4): 400
Cyd-Ref-184	Leandri	1931		In: Fl. Indo-Chine 5(10): 1091
Cyd-Ref-691		1931		In: Fl. Indo-Chine 5(10): 1091
Cyd-Ref-186	A.Lindstr. & K.D.Hill	2003		In: Brittonia 54(4): 299, fig. 1 (2002 publ. 2003)
Cyd-Ref-187	K.D.Hill	1992		In: Telopea 5(1): 193-194, fig. 9
Cyd-Ref-188	S.L.Yang, W.Tang, K.D.Hill & Vatch.	1999		In: Brittonia 51(1): 44-47, fig. 1
Cyd-Ref-189	Maconochie	1978		In: J. Adelaide Bot. Gard. 1(3): 177-178, fig. 2
Cyd-Ref-794	R.C.Srivast. & L.J.Singh	2015		In: Int. J. Curr. Res. Biosci. Plant Biol. 2 (8): 35-37
Cyd-Ref-190	Blume	1848		In: Rumphia 4: 16
Cyd-Ref-191	Thunb.	1782		In: Verh. Holl. Maatsch Weetensch. Haarlem 20(2): 424, 426-427
Cyd-Ref-192	Miq.	1847		In: Tijdschr. Wis- Natuurk. Wetensch. Eerste Kl. Kon. Ned. Inst. Wetensch. 1(1): 207
Cyd-Ref-193	Miq.	1842		In: Monogr. Cycad.: 2526
Cyd-Ref-194	Siebold & Zucc.	1846		In: Abh. Math.-Phys. Cl. Königl. Bayer. Akad. Wiss. 14(3): 236
Cyd-Ref-692		1842		In: Monogr. Cycad.: 2526
Cyd-Ref-195	Messeri	1927		In: Nuovo Giorn. Bot. Ital., n.s., 34: 324, 327
Cyd-Ref-741	J.Schust.	1932		In: in Engler, Pflanzenr. 99: 84
